question_id,bloom_level,question
KNO_001,Knowledge,About what proportion of the population of the US is living on farms?
KNO_002,Knowledge,Correctly label the brain lobes indicated on the diagram below
KNO_003,Knowledge,Define compound interest.
KNO_004,Knowledge,Define four types of traceability.
KNO_005,Knowledge,Define mercantilism.
KNO_006,Knowledge,"Define stream bank, floodplain and substrate."
KNO_007,Knowledge,Define the meaning of the Olympic Motto.
KNO_008,Knowledge,Draw and label a diagram of a typical stream.
KNO_009,Knowledge,Draw the basic outline of a page of notes using the Cornell Method?
KNO_010,Knowledge,Draw the block diagram of the central processing unit
KNO_011,Knowledge,Draw the flow chart of the PNK system
KNO_012,Knowledge,How many instructions in the instruction set of RISC computer?
KNO_013,Knowledge,How many kilometers from your home to the university
KNO_014,Knowledge,How many loop statement available in c++?
KNO_015,Knowledge,How many states are there in USA
KNO_016,Knowledge,How many years does this animal live?
KNO_017,Knowledge,How much data can be stored in the cach memory
KNO_018,Knowledge,How much did he pay for his car
KNO_019,Knowledge,How much is your weight
KNO_020,Knowledge,How much time did he took to build a house
KNO_021,Knowledge,How much water does an elephant drink
KNO_022,Knowledge,Identify a phrase as a simile
KNO_023,Knowledge,"Identify a property (commutative, additive, etc("
KNO_024,Knowledge,Identify fractions from a pictorial representation
KNO_025,Knowledge,Identify ordinal positions
KNO_026,Knowledge,Identify the correct definition of osmosis.
KNO_027,Knowledge,Identify the five major prophets of the Old Testament.
KNO_028,Knowledge,Identify the part of a eukaryotic cell.
KNO_029,Knowledge,Identify the standard peripheral components of a computer.
KNO_030,Knowledge,Identify which word begins with the same sound as the s in sun (Knowledge of letter s)
KNO_031,Knowledge,in which continent does the state of suriname fall
KNO_032,Knowledge,in which countries is arabic language spoken
KNO_033,Knowledge,In Which part of the world does he live
KNO_034,Knowledge,Label any Olympic sporting apparatus with design features.
KNO_035,Knowledge,Label the parts of the following insects: Grasshopper
KNO_036,Knowledge,Label the parts of the microscope shown on the right
KNO_037,Knowledge,List four types of clauses mentioned in the article
KNO_038,Knowledge,List reserved words in C programming.
KNO_039,Knowledge,List the characteristics peculiar to the Cubist movement.
KNO_040,Knowledge,List the levels in Bloom's Taxonomy.
KNO_041,Knowledge,List the procedure to draw a mixed potential or Evans' diagram
KNO_042,Knowledge,List the steps involved in titration.
KNO_043,Knowledge,List three characteristics that are unique to the Cubist movement.
KNO_044,Knowledge,List three predominant economic systems that exist
KNO_045,Knowledge,Look at the symbol. What is the symbol’s purpose on a map?
KNO_046,Knowledge,Make a list of facts you learned from the story.
KNO_047,Knowledge,Name 5 steps that follow the taking of notes (within 24 hours or less)?
KNO_048,Knowledge,Name the artist who painted the Mona Lisa.
KNO_049,Knowledge,Name the food groups and at least two items of food in each group.
KNO_050,Knowledge,Name the four major food groups.
KNO_051,Knowledge,Name the main characters in the story.
KNO_052,Knowledge,Name the property that states that
KNO_053,Knowledge,Please label the diagram below:
KNO_054,Knowledge,Recall basic math facts
KNO_055,Knowledge,Recall locations of a historical events
KNO_056,Knowledge,Recall the definition of the formula datatype from your assignment 2.
